ID;NAME;NAT;OA;CON;TAL;EXP;AGG;TEI;STA;CHA;MOT;REP;AGE;WEI;RET;SAL;FEE;FAV;OFF
24773;Lucas Foresti;BRA;40;76;62;23;0;37;0;162;0;0;31;101;0;427781;100000;54,37;0
26273;Daniel Hornish Jr.;USA;40;52;47;27;0;105;0;160;0;0;32;101;0;205000;100000;28,6;0
17629;Aurelian Cosma;ROU;41;0;37;159;0;99;0;178;0;0;40;102;0;293051;100000;;0
9739;Hans-Joachim Reuter;DEU;42;115;53;19;0;41;0;140;0;0;36;105;2;210000;100000;30,24,44;0
16589;A.J. Lunger;USA;43;80;42;43;94;17;0;104;0;0;35;101;0;299323;100000;37,23;0
11667;Katherine Brundle;GBR;44;40;69;35;104;20;0;100;0;0;30;100;2;220000;100000;9,37;0
23288;Beppe Torre;ITA;44;7;148;30;43;26;0;29;0;0;32;102;2;220000;100000;;0
28102;Dino Hailwood;GBR;44;26;125;19;87;5;0;27;0;0;29;98;2;220000;100000;45,9;0
29919;Sam Bernstorff;GBR;44;29;72;12;117;38;0;82;0;0;31;99;0;220000;100000;53,5;0
18371;Paolo Maria Francia;ITA;45;127;64;34;0;55;0;84;0;0;34;102;0;461327;100000;29,32,19;0
21750;Sam Henton;GBR;45;10;90;3;89;70;0;89;0;0;32;100;2;225000;100000;9,41;0
14326;Giovanni Giovanardi;ITA;47;39;74;17;101;56;0;90;0;0;31;98;2;235000;100000;61,6;0
15551;Ferdinand Hayje;NLD;47;117;105;37;3;2;0;78;0;0;32;101;0;509400;118441;17,4;0
26856;Nigel Van Lagen;NLD;48;61;115;30;33;38;0;62;0;0;26;94;0;590523;124923;47,64;0
19131;Franck Carrapatoso;BRA;49;30;66;33;110;113;0;31;0;0;29;96;0;245000;100000;53,29;0
22142;Alexander Mcnish;GBR;49;61;83;24;47;60;0;111;0;0;26;89;2;245000;100000;30,46;0
17239;Alex Alguersuari;ESP;50;104;44;17;57;122;0;59;0;0;28;89;2;255000;100000;4,30,45;0
18362;Gianfranco Chinosi;ITA;50;30;164;21;17;42;0;25;0;0;25;88;2;250000;100000;48,18,15;0
21533;Nick Donnelly;GBR;50;63;31;7;140;122;0;42;0;0;26;88;0;293085;100000;6,56;0
24105;Manuel Wackerbauer;DEU;50;29;63;8;129;56;0;130;0;0;27;89;2;250000;100000;61,56,45;0
24136;Carlo Maria Abate;ITA;50;97;96;2;91;25;0;10;0;0;23;92;0;245000;100000;42,12;0
24476;Carlo Maria Nocera;ITA;50;79;67;22;28;109;0;87;0;0;25;81;2;250000;100000;43,36,9;0
25687;Toshio Sakurai;JPN;50;85;37;19;78;111;0;91;0;0;27;92;2;250000;100000;62,33,51;0
16343;Buddy Hornish Jr.;USA;51;30;54;22;129;85;0;106;0;0;28;95;2;255000;100000;63,16;0
19110;Tiago Boesel;BRA;51;37;158;23;1;81;0;18;0;0;29;94;0;255000;100000;8,23,57;0
19647;Hubert Engel;DEU;51;113;59;23;63;35;0;120;0;0;24;92;2;255000;100000;59,60,13;0
20263;Marco Stippler;DEU;51;70;123;33;0;27;0;129;0;0;25;99;0;478172;100000;20,11;0
22932;Mirko Capello;ITA;51;107;92;37;11;74;0;54;0;0;26;96;2;255000;100000;23,18;0
24426;Clemente Larini;ITA;51;58;75;21;61;80;0;117;0;0;26;93;0;255000;100000;36;0
15163;Kohei Ide;JPN;52;42;132;114;15;28;0;66;0;0;38;101;1;261250;100000;;0
16952;Peter Vasser;USA;52;68;87;66;0;70;0;160;0;0;30;101;2;260000;100000;10,4;0
18021;Sandro Menu;CHE;52;49;125;9;0;128;0;43;0;0;25;85;2;260000;100000;63,17;0
19923;Hans Klingmann;DEU;52;51;64;30;124;108;0;15;0;0;25;94;2;260000;100000;35,42;0
27757;Ed Busch;USA;52;12;154;51;0;38;0;138;0;0;32;101;0;580331;136927;3,59;0
30034;Matthew Calado;GBR;52;109;34;6;96;68;0;114;0;0;22;80;2;260000;100000;4,21;0
13248;Ryan Pryce;GBR;53;14;122;29;90;95;0;18;0;0;33;102;0;433093;100000;41,12;0
13882;Rinaldo Barilla;ITA;53;169;29;55;14;76;0;118;0;0;32;101;2;265000;100000;;0
17674;Costi Dumitrescu;ROU;53;125;21;69;27;78;0;194;0;0;35;101;0;1003494;1020318;;0
19890;"J&#246;rg Klein";DEU;53;122;61;22;73;85;0;27;0;0;25;92;0;364359;100000;58,22;0
21463;Tony Clucas;GBR;53;173;23;27;86;40;0;80;0;0;23;93;0;265000;100000;57,19;0
22075;Jon Lees;GBR;53;102;80;13;140;0;0;33;0;0;27;90;0;265000;100000;22,36;0
22148;Oliver Mcnish;GBR;53;169;26;28;58;64;0;94;0;0;28;98;2;265000;100000;42,17;0
22314;Paul Plowman;GBR;53;31;67;31;140;70;0;95;0;0;23;94;2;265000;100000;;0
22869;Siegfried Bortolotti;ITA;53;125;76;10;4;65;0;129;0;0;25;82;0;283802;100000;26,19;0
23087;Paolo Maria Montin;ITA;53;139;31;6;24;112;0;138;0;0;23;87;0;769993;219814;22,1;0
23740;Jonathan Fleming;USA;53;48;141;2;49;55;0;34;0;0;26;88;2;265000;100000;11,7;0
24039;Tarso Landi;BRA;53;94;94;15;87;19;0;54;0;0;25;83;0;265000;100000;47,37;0
24383;Carlo Maria Del Monte;ITA;53;64;83;5;90;30;0;147;0;0;24;88;0;265000;100000;35,59;0
24632;Karl Ledermair;AUT;53;129;62;24;61;4;0;150;0;0;27;98;2;265000;100000;57;0
25563;Kotaro Hirate;JPN;53;107;105;38;73;2;0;43;0;0;28;98;0;790901;455646;39,6;0
26175;Daniel Barber;USA;53;59;102;42;0;109;0;109;0;0;30;99;0;577941;120718;26,11;0
26736;Beitske Muermans;NLD;53;68;70;31;107;66;0;78;0;0;26;98;2;265000;100000;29,27;0
26799;Jeroen Strous;NLD;53;132;29;12;81;59;0;133;0;0;24;81;2;270000;100000;48,54;0
27721;Luis Fontes;ESP;53;43;42;15;124;95;0;141;0;0;25;92;0;266287;100000;21,17;0
28622;Richard Zamparelli;GBR;53;61;135;9;0;60;0;114;0;0;26;98;2;265000;100000;3,33,9;0
29242;"Markus Kirchh&#246;fer";DEU;53;190;29;23;84;57;0;19;0;0;27;96;2;265000;100000;59,48,3;0
29707;Sage Hunter-Reay;USA;53;79;150;30;0;18;0;75;0;0;29;101;2;265000;100000;26,2;0
30472;Facu Reutemann;ARG;53;35;99;48;0;99;0;64;108;0;37;99;0;235000;100000;36,44;0
12686;Jenson Legge;GBR;54;158;25;76;33;123;0;46;0;0;36;99;0;270750;100000;19,11;0
16006;Jimmy Bucknum;USA;54;0;123;220;0;25;0;89;24;0;43;91;0;280250;100000;;0
16373;A.J. Hunter-Reay;USA;54;42;95;32;50;40;11;169;0;0;24;88;0;270000;100000;20,5;0
16987;Peter Ward;USA;54;64;184;20;0;0;0;53;0;0;33;103;2;270000;100000;58,38;0
17605;Vali Bunica;ROU;54;102;91;69;12;99;0;39;0;0;31;99;0;270000;100000;45,15;0
19080;Michael Leinders;BEL;54;102;65;159;0;97;0;54;0;0;41;102;1;486013;104757;;0
19861;Martin Kath;DEU;54;56;147;10;36;31;0;78;0;0;32;102;2;270000;100000;61,53;0
21098;Yannick Perera;FRA;54;132;68;18;65;84;0;25;0;0;26;95;2;270000;100000;34,32,60;0
23029;Mirko Leoni;ITA;54;134;36;33;53;120;0;62;0;0;27;88;2;270000;100000;64,26;0
23398;Koudai Kogure;JPN;54;91;55;24;115;43;0;101;0;0;21;85;0;270000;100000;22,57;1
23430;Ryo Oshima;JPN;54;31;152;9;17;16;0;147;0;0;23;79;2;270000;100000;4,44;0
23529;Renger Doornbos;NLD;54;52;153;10;41;54;0;15;0;0;26;92;0;860272;306099;7,61;0
25325;Wayne Coulthard;GBR;54;176;37;15;103;38;8;12;0;0;23;94;0;644248;133852;31,4,57;0
25937;Mateusz Giermaziak;POL;54;133;36;17;40;115;1;99;0;0;22;88;0;270000;100000;;0
26962;Charles Zwart;NLD;54;106;47;12;54;73;0;166;0;0;24;86;0;275969;100000;31,9;0
27274;Michele Bizzarri;ITA;54;133;89;40;0;90;0;41;0;0;31;96;2;270000;100000;31,54;0
